,epsilon,prob_mask,reward
0,0.4466328968942385,[0.61571366 0.38428634],-4.499999999999998
1,0.493203157023471,[9.99884976e-01 1.15023959e-04],10.99999999999998
2,0.527142472225332,[0.85668498 0.14331502],3.8999999999999986
3,0.363975077450337,[0.63031157 0.36968843],-1.4999999999999982
4,0.1312357567461044,[0.66688867 0.33311133],10.599999999999982
5,0.5859173412195223,[0.9161908 0.0838092],8.799999999999985
6,0.3543858064461671,[0.91301709 0.08698291],8.399999999999986
7,0.4321810443270327,[0.69495367 0.30504633],0.3000000000000007
8,0.28807607684723224,[0.81993289 0.18006711],6.099999999999994
9,0.48556320607879266,[0.84114366 0.15885634],3.8999999999999986
10,0.3446959495201338,[0.8221821 0.1778179],4.899999999999995
11,0.45994896171519073,[0.68444489 0.31555511],-3.299999999999998
12,0.056350604585950356,[0.95426511 0.04573489],65.00000000000038
13,0.5847634952779847,[0.84294944 0.15705056],3.8999999999999986
14,0.25170645359044796,[0.80975896 0.19024104],4.899999999999995
15,0.09210589388589625,[0.65272616 0.34727384],9.099999999999984
16,0.17624552367806864,[0.75958229 0.24041771],9.499999999999982
17,0.3200324941126163,[0.88556069 0.11443931],4.899999999999995
18,0.054324242887614525,[0.63802308 0.36197692],4.299999999999997
19,0.3914103216748478,[0.8303534 0.1696466],3.8999999999999986
20,0.16152411886782947,[0.72140544 0.27859456],3.8999999999999986
21,0.17774620346993433,[0.84869384 0.15130616],3.8999999999999986
22,0.32327350092643653,[0.64598341 0.35401659],-2.099999999999998
23,0.4024532196432451,[0.74740103 0.25259897],3.8999999999999986
24,0.13301397466397727,[0.98825293 0.01174707],68.90000000000022
25,0.00805491608445623,[0.97800424 0.02199576],143.89999999999685
26,0.3423668083391268,[0.77177373 0.22822627],12.899999999999974
27,0.5340656093608537,[0.79688509 0.20311491],3.8999999999999986
28,0.4387547773044819,[0.68547307 0.31452693],-5.099999999999998
29,0.2505536882712289,[0.85029884 0.14970116],12.899999999999974
30,0.2042997784442574,[0.98506872 0.01493128],37.50000000000023
31,0.11189048701894763,[0.68330146 0.31669854],4.699999999999996
32,0.5873207819532611,[0.92606622 0.07393378],3.8999999999999986
33,0.40344931957031294,[0.63273805 0.36726195],-3.899999999999998
34,0.3777545632160733,[0.64141097 0.35858903],3.8999999999999986
35,0.37660248915909916,[0.81612385 0.18387615],3.8999999999999986
36,0.2242600643528452,[0.63110365 0.36889635],4.999999999999995
37,0.44862633641714184,[0.90661556 0.09338444],8.399999999999986
38,0.3362887546416532,[0.86002454 0.13997546],3.8999999999999986
39,0.17731957105152304,[0.6491641 0.3508359],1.5
40,0.5278384286504776,[0.67058536 0.32941464],2.0999999999999996
41,0.317566960793926,[0.77945309 0.22054691],3.8999999999999986
42,0.04891068963228042,[0.85515651 0.14484349],34.600000000000186
43,0.5988545100490402,[0.66872753 0.33127247],-1.4999999999999982
44,0.172115781383843,[0.98680758 0.01319242],17.90000000000001
45,0.37405669719832474,[0.81643455 0.18356545],6.099999999999994
46,0.3805657365589012,[0.62654071 0.37345929],-5.099999999999998
47,0.24522289080478377,[0.71025456 0.28974544],3.8999999999999986
48,0.13930273176741725,[0.67874158 0.32125842],4.4999999999999964
49,0.03200949384574596,[0.67019439 0.32980561],108.69999999999847
50,0.4817377542028799,[0.86665438 0.13334562],4.299999999999997
51,0.5550087525685784,[0.80206247 0.19793753],3.8999999999999986
52,0.12156240149555254,[0.98645817 0.01354183],81.29999999999968
53,0.35593095892700444,[0.78026953 0.21973047],1.5
54,0.5015123098170803,[0.95258408 0.04741592],4.899999999999995
55,0.29325840454481406,[0.84629103 0.15370897],17.90000000000001
56,0.14769133967774511,[0.7514962 0.2485038],3.8999999999999986
57,0.4051703056761136,[0.89984604 0.10015396],8.399999999999986
58,0.0009478489033388326,[0.8148149 0.1851851],26.90000000000011
59,0.023724497664579958,[0.7048492 0.2951508],18.400000000000016
60,0.3692962328774087,[0.90212135 0.09787865],3.9999999999999982
61,0.3396628835512594,[0.81241617 0.18758383],4.999999999999995
62,0.4412479465296199,[0.90223345 0.09776655],13.99999999999997
63,0.51973848930095,[0.96361647 0.03638353],3.8999999999999986
64,0.47383148907609257,[0.97201463 0.02798537],8.499999999999986
65,0.4659090340849782,[0.82873216 0.17126784],3.8999999999999986
66,0.3258423185767977,[0.89659759 0.10340241],4.399999999999997
67,0.034824160226199094,[0.9969929 0.0030071],110.89999999999834
68,0.5391622605101634,[0.97053429 0.02946571],23.400000000000073
69,0.5364633733275703,[0.74450109 0.25549891],3.8999999999999986
70,0.16362277373741738,[0.64231102 0.35768898],6.699999999999992
71,0.5787161732982632,[0.86281666 0.13718334],4.4999999999999964
72,0.3087789564508161,[0.86417606 0.13582394],3.8999999999999986
73,0.1862734085591581,[0.74356818 0.25643182],15.79999999999998
74,0.5935246226731089,[0.78678738 0.21321262],-3.299999999999998
75,0.30795773896694595,[0.91709384 0.08290616],11.09999999999998
76,0.10598384775001858,[0.61123726 0.38876274],3.8999999999999986
77,0.32773846523675965,[0.95546378 0.04453622],6.799999999999992
78,0.09397983954513851,[0.7738351 0.2261649],4.999999999999995
79,0.04130971001656771,[0.93284961 0.06715039],82.8999999999996
80,0.020793771098409852,[0.68646583 0.31353417],29.200000000000127
81,0.520395185780655,[0.60284098 0.39715902],4.299999999999997
82,0.16626248425683704,[0.98082359 0.01917641],13.99999999999997
83,0.5801004023490213,[0.83031197 0.16968803],3.8999999999999986
84,0.5844078062469303,[0.70538372 0.29461628],-5.699999999999998
85,0.07540750019742248,[0.6995674 0.3004326],29.50000000000013
86,0.23192155749086318,[0.76348012 0.23651988],-2.699999999999998
87,0.23882307505629086,[0.98645486 0.01354514],31.900000000000162
88,0.3372302026108891,[0.94654535 0.05345465],9.199999999999983
89,0.196376144487868,[0.6478123 0.3521877],3.8999999999999986
90,0.1417858399364106,[0.62302239 0.37697761],4.699999999999996
91,0.0480452928874525,[0.86414385 0.13585615],8.399999999999986
92,0.4036982597578916,[0.72508205 0.27491795],3.8999999999999986
93,0.28744666234682853,[9.99957273e-01 4.27273228e-05],110.89999999999834
94,0.46952125607739326,[0.87878614 0.12121386],3.8999999999999986
95,0.3237956733567086,[0.83873318 0.16126682],0.9000000000000004
96,0.2173569512129894,[0.66972086 0.33027914],-2.699999999999998
97,0.5472272132682507,[0.6198307 0.3801693],-2.699999999999998
98,0.2208342782826835,[0.69469522 0.30530478],4.299999999999997
99,0.2457133446618382,[0.64314428 0.35685572],3.8999999999999986
100,0.04324378676752478,[0.74560349 0.25439651],6.799999999999992
